City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
136,nuuk,64.1835,-51.7216,273.64,80,98,1.79,GL,1685797438
137,utrik,11.2278,169.8474,299.48,82,100,2.25,MH,1685797438
138,barra,-11.0894,-43.1417,300.88,48,0,3.5,BR,1685797438
139,pontotoc,34.2479,-88.9987,295.93,75,0,1.94,US,1685797438
140,hasaki,35.7333,140.8333,290.49,63,0,7.49,JP,1685797438
141,sandnessjoen,66.0217,12.6316,281.44,81,75,4.12,NO,1685797439
142,isangel,-19.55,169.2667,297.13,80,86,6.53,VU,1685797439
143,glendive,47.1053,-104.7125,292.42,94,0,3.6,US,1685797439
144,matai,-8.3,31.5167,296.58,43,53,2.38,TZ,1685797439
145,ilulissat,69.2167,-51.1,271.83,97,100,2.16,GL,1685797439
146,haiku-pauwela,20.9219,-156.3051,295.95,73,0,4.12,US,1685797439
147,ust-nera,64.5667,143.2,285.77,57,38,1.46,RU,1685797440
148,korla,41.7597,86.1469,299.17,16,100,1.43,CN,1685797440
149,labrador city,52.9463,-66.9114,281.82,37,5,2.53,CA,1685797440
150,albany,42.6001,-73.9662,289.76,81,100,2.06,US,1685797440
151,tindouf,27.6711,-8.1474,303.88,19,0,11.12,DZ,1685797441
152,fort bragg,35.139,-79.006,297.06,81,0,1.54,US,1685797441
153,labytnangi,66.6572,66.4183,295.14,39,90,1.35,RU,1685797269
154,kodiak,57.79,-152.4072,278.88,87,0,0.0,US,1685797441
155,ardakan,32.31,54.0175,311.11,11,2,6.15,IR,1685797148
156,kyosai,34.8503,128.5886,292.05,84,62,3.18,KR,1685797442
157,pauls valley,34.7401,-97.2223,293.32,100,75,0.0,US,1685797442
158,sitka,57.0531,-135.33,283.09,87,75,0.0,US,1685797442
159,tyn nad vltavou,49.2234,14.4206,293.2,37,1,4.09,CZ,1685797443
160,vasylkiv,50.1869,30.3135,292.18,36,6,5.48,UA,1685797231
161,selfoss,63.9331,-20.9971,285.95,78,100,5.35,IS,1685797205
162,franceville,-1.6333,13.5836,306.16,46,95,0.94,GA,1685797444
163,weno,7.4515,151.8468,300.12,89,100,1.54,FM,1685797444
164,invercargill,-46.4,168.35,280.34,87,100,1.97,NZ,1685797226
165,ilha de mocambique,-15.0342,40.7358,300.15,64,0,4.37,MZ,1685797444
166,brisas de zicatela,15.8369,-97.0419,300.44,69,0,0.0,MX,1685797445
167,rio gallegos,-51.6226,-69.2181,277.24,64,100,3.04,AR,1685797445
168,sotouboua,8.5667,0.9833,305.46,51,92,2.2,TG,1685797445
169,mejit,10.2753,170.8646,299.82,82,100,5.64,MH,1685797445
170,dubbo,-32.25,148.6167,285.22,82,6,4.63,AU,1685797445
171,imbituba,-28.24,-48.6703,293.63,53,1,3.1,BR,1685797276
172,medina,24.4686,39.6142,313.39,14,40,3.09,SA,1685797446
173,sechura,-5.5569,-80.8222,297.08,77,25,5.96,PE,1685797446
174,vallenar,-28.5708,-70.7581,291.82,40,100,1.37,CL,1685797446
175,kedougou,12.5579,-12.1743,311.4,24,100,3.36,SN,1685797446
176,medicine hat,50.0501,-110.6683,289.39,82,100,3.09,CA,1685797446
177,portalegre,39.2938,-7.4312,297.71,52,67,0.89,PT,1685797340
178,sengkang,-4.1279,120.0297,297.97,93,52,1.32,ID,1685797447
179,stanley,54.868,-1.6985,291.64,48,0,3.6,GB,1685797378
180,remire-montjoly,4.9167,-52.2667,300.17,83,100,1.03,GF,1685797447
181,san andres,12.5847,-81.7006,303.16,84,20,2.06,CO,1685797447
182,bukoba,-1.3317,31.8122,297.94,64,42,3.34,TZ,1685797447
183,taltal,-25.4,-70.4833,292.31,63,97,1.02,CL,1685797447
184,strzelce krajenskie,52.8773,15.5298,290.58,30,100,1.73,PL,1685797340
185,bethanie,-26.4833,17.15,291.12,40,0,4.76,NA,1685797448
186,lepsy,46.235,78.9456,302.11,16,60,8.03,KZ,1685797448
187,polyarnyy,69.1989,33.4478,281.47,50,54,4.11,RU,1685797448
188,bam,29.106,58.357,310.5,8,0,5.64,IR,1685797448
189,svetlyy,54.675,20.1347,288.18,49,15,3.83,RU,1685797449
190,conde,-7.2597,-34.9075,301.85,65,75,6.69,BR,1685797449
191,ambon,-3.6954,128.1814,302.95,95,40,4.12,ID,1685797449
192,sorong,-0.8833,131.25,300.08,88,100,4.96,ID,1685797449
193,crane,31.3974,-102.3501,292.7,89,59,2.36,US,1685797449
194,port elizabeth,-33.918,25.5701,297.31,52,0,8.23,ZA,1685797311
195,amungan,15.3652,119.9582,300.77,82,100,2.56,PH,1685797450
196,alofi,-19.0595,-169.9187,297.4,76,100,5.53,NU,1685797450
197,la mira,18.035,-102.3266,296.77,80,3,1.92,MX,1685797450
198,nikel,69.4128,30.222,283.25,36,100,3.26,RU,1685797450
199,lihue,21.9789,-159.3672,295.92,79,40,4.12,US,1685797450
200,tazovsky,67.4667,78.7,285.27,61,54,1.64,RU,1685797451
201,varpalota,47.1994,18.1395,293.81,62,33,2.48,HU,1685797451
202,hirara,24.8,125.2833,298.8,71,98,5.13,JP,1685797451
203,palu,-0.8917,119.8707,298.46,96,56,0.94,ID,1685797451
204,ascencion,31.1,-107.9833,291.36,26,0,2.86,MX,1685797451
